term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
At-risk-of poverty rate,at-risk-of poverty rate,"Income, poverty and living conditions",0.80706,Demography and population,0.035629,0.771431,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.8071; margin=0.7714; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of-poverty rate by sex,at-risk-of-poverty rate by sex,"Income, poverty and living conditions",0.764272,Demography and population,0.028266,0.736006,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7643; margin=0.7360; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
"At-risk-of poverty rate, total (%)","at-risk-of poverty rate, total (%)","Income, poverty and living conditions",0.762484,Demography and population,0.027959,0.734525,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7625; margin=0.7345; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
In work at-risk-of-poverty rate,in work at-risk-of-poverty rate,"Income, poverty and living conditions",0.751651,Demography and population,0.026095,0.725556,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7517; margin=0.7256; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
In-work at-risk-of-poverty rate,in-work at-risk-of-poverty rate,"Income, poverty and living conditions",0.751651,Demography and population,0.026095,0.725556,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7517; margin=0.7256; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of-poverty rate after social transfers by sex,at-risk-of-poverty rate after social transfers by sex,"Income, poverty and living conditions",0.749779,Demography and population,0.017909,0.731869,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7498; margin=0.7319; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of poverty rate by household type - EU-SILC survey,at-risk-of poverty rate by household type - eu-silc survey,"Income, poverty and living conditions",0.73941,Demography and population,0.016579,0.722831,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7394; margin=0.7228; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
People at risk of poverty after social transfer,people at risk of poverty after social transfer,"Income, poverty and living conditions",0.733961,Housing and construction,0.0,0.733961,high,rule_override_and_tfidf,poverty|at risk of poverty|social transfer,at risk of poverty,"Best profile: Income, poverty and living conditions; score=0.7340; margin=0.7340; override_rules=poverty; keywords=poverty, at risk of poverty, social transfer; strong_keywords=at risk of poverty",1,1,poverty
At risk-of-poverty rate for the population living in quasi- jobless households,at risk-of-poverty rate for the population living in quasi- jobless households,"Income, poverty and living conditions",0.73222,Demography and population,0.122112,0.610108,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7322; margin=0.6101; override_rules=poverty, jobless household; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty|jobless household
In-work at-risk-of-poverty rate by sex,in-work at-risk-of-poverty rate by sex,"Income, poverty and living conditions",0.732204,Demography and population,0.022748,0.709456,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7322; margin=0.7095; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
In-work at-risk-of-poverty rate by household type - EU-SILC survey,in-work at-risk-of-poverty rate by household type - eu-silc survey,"Income, poverty and living conditions",0.727951,Demography and population,0.015216,0.712735,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7280; margin=0.7127; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
"At-risk-of poverty rate, female, total (%)","at-risk-of poverty rate, female, total (%)","Income, poverty and living conditions",0.727227,Demography and population,0.021892,0.705335,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7272; margin=0.7053; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
"At-risk-of poverty rate, male, total (%)","at-risk-of poverty rate, male, total (%)","Income, poverty and living conditions",0.727142,Demography and population,0.021877,0.705265,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7271; margin=0.7053; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
At-risk-of-poverty rate by NUTS 2 regions,at-risk-of-poverty rate by nuts 2 regions,"Income, poverty and living conditions",0.726187,Demography and population,0.021713,0.704474,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7262; margin=0.7045; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),at risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),"Income, poverty and living conditions",0.725451,Economy and national accounts,0.101446,0.624004,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7255; margin=0.6240; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",20,2028,poverty
At-risk-of-poverty rate before social transfers by sex - EU-SILC survey,at-risk-of-poverty rate before social transfers by sex - eu-silc survey,"Income, poverty and living conditions",0.725401,Demography and population,0.014994,0.710406,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7254; margin=0.7104; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
"At-risk-of poverty rate, total, 65+ (%)","at-risk-of poverty rate, total, 65+ (%)","Income, poverty and living conditions",0.72422,Demography and population,0.021375,0.702846,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7242; margin=0.7028; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, total, urban (%)","at-risk-of poverty rate, total, urban (%)","Income, poverty and living conditions",0.724067,Demography and population,0.021348,0.702719,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7241; margin=0.7027; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, total, 0-17 (%)","at-risk-of poverty rate, total, 0-17 (%)","Income, poverty and living conditions",0.723863,Demography and population,0.021313,0.70255,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7239; margin=0.7025; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, total, rural (%)","at-risk-of poverty rate, total, rural (%)","Income, poverty and living conditions",0.723863,"Agriculture, forestry and fisheries",0.139578,0.584285,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7239; margin=0.5843; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, female, urban (%)","at-risk-of poverty rate, female, urban (%)","Income, poverty and living conditions",0.71985,Demography and population,0.020623,0.699228,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7199; margin=0.6992; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
"At-risk-of poverty rate, male, urban (%)","at-risk-of poverty rate, male, urban (%)","Income, poverty and living conditions",0.71978,Demography and population,0.020611,0.699169,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7198; margin=0.6992; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
"At-risk-of poverty rate, female, rural (%)","at-risk-of poverty rate, female, rural (%)","Income, poverty and living conditions",0.719666,"Agriculture, forestry and fisheries",0.137559,0.582107,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7197; margin=0.5821; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
"At-risk-of poverty rate, male, rural (%)","at-risk-of poverty rate, male, rural (%)","Income, poverty and living conditions",0.719596,"Agriculture, forestry and fisheries",0.137525,0.58207,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7196; margin=0.5821; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),at risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),"Income, poverty and living conditions",0.712894,Economy and national accounts,0.095373,0.61752,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7129; margin=0.6175; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,123,poverty
"At-risk-of poverty rate, total, 18-64 (%)","at-risk-of poverty rate, total, 18-64 (%)","Income, poverty and living conditions",0.708552,Demography and population,0.018679,0.689873,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7086; margin=0.6899; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
At risk of poverty rate (cut-off point: 50% of median equivalised income),at risk of poverty rate (cut-off point: 50% of median equivalised income),"Income, poverty and living conditions",0.706594,Economy and national accounts,0.103742,0.602852,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7066; margin=0.6029; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,82,poverty
"At-risk-of poverty rate, female, total, 65+ (%)","at-risk-of poverty rate, female, total, 65+ (%)","Income, poverty and living conditions",0.706174,Demography and population,0.018269,0.687904,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7062; margin=0.6879; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, male, total, 65+ (%)","at-risk-of poverty rate, male, total, 65+ (%)","Income, poverty and living conditions",0.706125,Demography and population,0.018261,0.687864,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7061; margin=0.6879; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, female, total, 0-17 (%)","at-risk-of poverty rate, female, total, 0-17 (%)","Income, poverty and living conditions",0.70595,Demography and population,0.018231,0.687719,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7060; margin=0.6877; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
"At-risk-of poverty rate, male, total, 0-17 (%)","at-risk-of poverty rate, male, total, 0-17 (%)","Income, poverty and living conditions",0.705902,Demography and population,0.018223,0.687679,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7059; margin=0.6877; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
At-risk of poverty rate of unemployed persons,at-risk of poverty rate of unemployed persons,"Income, poverty and living conditions",0.705586,Demography and population,0.018168,0.687418,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7056; margin=0.6874; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
"At-risk-of poverty rate, total, urban, 65+ (%)","at-risk-of poverty rate, total, urban, 65+ (%)","Income, poverty and living conditions",0.704317,Demography and population,0.01795,0.686367,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7043; margin=0.6864; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, total, rural, 65+ (%)","at-risk-of poverty rate, total, rural, 65+ (%)","Income, poverty and living conditions",0.704195,"Agriculture, forestry and fisheries",0.130118,0.574077,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7042; margin=0.5741; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
At risk of poverty rate (cut-off point: 40% of median equivalised income),at risk of poverty rate (cut-off point: 40% of median equivalised income),"Income, poverty and living conditions",0.704108,Economy and national accounts,0.103188,0.60092,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7041; margin=0.6009; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,82,poverty
At risk of poverty rate (cut-off point: 70% of median equivalised income),at risk of poverty rate (cut-off point: 70% of median equivalised income),"Income, poverty and living conditions",0.703565,Economy and national accounts,0.103067,0.600498,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7036; margin=0.6005; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,82,poverty
"At-risk-of poverty rate, total, urban, 0-17 (%)","at-risk-of poverty rate, total, urban, 0-17 (%)","Income, poverty and living conditions",0.703526,Demography and population,0.017814,0.685713,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7035; margin=0.6857; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, total, rural, 0-17 (%)","at-risk-of poverty rate, total, rural, 0-17 (%)","Income, poverty and living conditions",0.703408,"Agriculture, forestry and fisheries",0.129739,0.573669,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7034; margin=0.5737; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, female, urban, 65+ (%)","at-risk-of poverty rate, female, urban, 65+ (%)","Income, poverty and living conditions",0.701773,Demography and population,0.017512,0.684261,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7018; margin=0.6843; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, male, urban, 65+ (%)","at-risk-of poverty rate, male, urban, 65+ (%)","Income, poverty and living conditions",0.701729,Demography and population,0.017505,0.684225,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7017; margin=0.6842; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, female, rural, 65+ (%)","at-risk-of poverty rate, female, rural, 65+ (%)","Income, poverty and living conditions",0.70166,"Agriculture, forestry and fisheries",0.128898,0.572761,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7017; margin=0.5728; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, male, rural, 65+ (%)","at-risk-of poverty rate, male, rural, 65+ (%)","Income, poverty and living conditions",0.701617,"Agriculture, forestry and fisheries",0.128878,0.572739,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7016; margin=0.5727; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, female, urban, 0-17 (%)","at-risk-of poverty rate, female, urban, 0-17 (%)","Income, poverty and living conditions",0.701038,Demography and population,0.017386,0.683653,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7010; margin=0.6837; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
"At-risk-of poverty rate, male, urban, 0-17 (%)","at-risk-of poverty rate, male, urban, 0-17 (%)","Income, poverty and living conditions",0.700996,Demography and population,0.017378,0.683618,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7010; margin=0.6836; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
"At-risk-of poverty rate, female, rural, 0-17 (%)","at-risk-of poverty rate, female, rural, 0-17 (%)","Income, poverty and living conditions",0.700928,"Agriculture, forestry and fisheries",0.128546,0.572381,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7009; margin=0.5724; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
"At-risk-of poverty rate, male, rural, 0-17 (%)","at-risk-of poverty rate, male, rural, 0-17 (%)","Income, poverty and living conditions",0.700886,"Agriculture, forestry and fisheries",0.128526,0.57236,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.7009; margin=0.5724; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
At-risk-of poverty rate by tenure status - EU-SILC survey,at-risk-of poverty rate by tenure status - eu-silc survey,"Income, poverty and living conditions",0.697056,Demography and population,0.0167,0.680356,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6971; margin=0.6804; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
"At-risk-of poverty rate, female, total, 18-64 (%)","at-risk-of poverty rate, female, total, 18-64 (%)","Income, poverty and living conditions",0.695885,Demography and population,0.016499,0.679386,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6959; margin=0.6794; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
Persistent at-risk-of poverty rate by sex - EU-SILC survey,persistent at-risk-of poverty rate by sex - eu-silc survey,"Income, poverty and living conditions",0.695852,Demography and population,0.016493,0.679359,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6959; margin=0.6794; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
"At-risk-of poverty rate, male, total,18-64 (%)","at-risk-of poverty rate, male, total,18-64 (%)","Income, poverty and living conditions",0.695849,Demography and population,0.016493,0.679356,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6958; margin=0.6794; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
At-risk-of poverty rate for children aged less than 18 by sex,at-risk-of poverty rate for children aged less than 18 by sex,"Income, poverty and living conditions",0.695331,Demography and population,0.016404,0.678928,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6953; margin=0.6789; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of-poverty rate for pensioners - EU-SILC survey,at-risk-of-poverty rate for pensioners - eu-silc survey,"Income, poverty and living conditions",0.69427,Demography and population,0.016221,0.678049,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6943; margin=0.6780; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
"At-risk-of poverty rate, total, urban, 18-64 (%)","at-risk-of poverty rate, total, urban, 18-64 (%)","Income, poverty and living conditions",0.694077,Demography and population,0.016188,0.67789,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6941; margin=0.6779; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, total, rural, 18-64 (%)","at-risk-of poverty rate, total, rural, 18-64 (%)","Income, poverty and living conditions",0.693988,"Agriculture, forestry and fisheries",0.125208,0.56878,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6940; margin=0.5688; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, female, urban, 18-64 (%)","at-risk-of poverty rate, female, urban, 18-64 (%)","Income, poverty and living conditions",0.692199,Demography and population,0.015865,0.676334,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6922; margin=0.6763; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, male, urban,18-64 (%)","at-risk-of poverty rate, male, urban,18-64 (%)","Income, poverty and living conditions",0.692166,Demography and population,0.015859,0.676307,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6922; margin=0.6763; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, female, rural, 18-64 (%)","at-risk-of poverty rate, female, rural, 18-64 (%)","Income, poverty and living conditions",0.692114,"Agriculture, forestry and fisheries",0.124307,0.567807,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6921; margin=0.5678; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
"At-risk-of poverty rate, male, rural,18-64 (%)","at-risk-of poverty rate, male, rural,18-64 (%)","Income, poverty and living conditions",0.692082,"Agriculture, forestry and fisheries",0.124292,0.567791,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6921; margin=0.5678; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,4,poverty
At-risk-of-poverty rate by poverty threshold age and sex - EU-SILC and ECHP surveys,at-risk-of-poverty rate by poverty threshold age and sex - eu-silc and echp surveys,"Income, poverty and living conditions",0.689652,Demography and population,0.01258,0.677071,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6897; margin=0.6771; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
Persistent at-risk-of poverty rate by age group - EU-SILC survey,persistent at-risk-of poverty rate by age group - eu-silc survey,"Income, poverty and living conditions",0.689544,Demography and population,0.015408,0.674136,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6895; margin=0.6741; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of-poverty rate of older people by sex - EU-SILC survey,at-risk-of-poverty rate of older people by sex - eu-silc survey,"Income, poverty and living conditions",0.684162,Demography and population,0.014482,0.66968,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6842; margin=0.6697; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
In-work at-risk-of-poverty rate by working time - EU-SILC survey,in-work at-risk-of-poverty rate by working time - eu-silc survey,"Income, poverty and living conditions",0.684041,Labour market,0.208644,0.475397,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6840; margin=0.4754; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
In-work at-risk-of-poverty rate by educational attainment level - EU-SILC survey,in-work at-risk-of-poverty rate by educational attainment level - eu-silc survey,"Income, poverty and living conditions",0.683727,Education and training,0.388376,0.295351,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6837; margin=0.2954; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
Gender differences in the at-risk-of-poverty rate by age - EU-SILC survey,gender differences in the at-risk-of-poverty rate by age - eu-silc survey,"Income, poverty and living conditions",0.683121,Demography and population,0.014303,0.668819,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6831; margin=0.6688; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
At-risk-of-poverty-rate by highest level of education attained,at-risk-of-poverty-rate by highest level of education attained,"Income, poverty and living conditions",0.682815,Education and training,0.118348,0.564467,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6828; margin=0.5645; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
